seed,epochs,dataset,augmentation,dataloader,batch_size,valid_batch_size,model,optimizer,lr,val_ratio,criterion,weight,lr_decay_step,log_interval,best_model,name,wandb,save_val_table,multi_head,use_caution_data,file_name,kfold,cutmix,scheduler,lr_decay_rate,patience,early_stopping,mixup,resize_height,resize_width
42,30,MixUpSplitByProfileDataset,BaseAugmentation,MaskDataLoader,512,1000,SwinTransformerBase224V1,Adam,0.001,0.2,focal,max,10,20,acc,SwinTransformerBase224V1_Focal_W1,Aug_SwinTransformerBase224V1_Focal_W1,2.0,1,1,SwinTransformerBase224V1_Focal_W1,0.0,0.0,StepLR,0.5,5.0,0.0,0.0,224,224
42,15,MaskSplitByProfileDataset,CustomAugmentation,MaskDataLoader,256,45,SwinTransformerBase224V1,Adam,0.001,0.1,f1,max,10,20,acc,SwinTransformerV1_f1,test_SwinTransformerV1_f1,2.0,1,1,test_SwinTransformerV1_f1_fold0,1.0,0.0,StepLR,0.5,5.0,5.0,0.0,224,224
42,30,MaskSplitByProfileDataset,BaseAugmentation,MaskDataLoader,512,1000,EfficientNetB0MultiHead,Adam,0.001,0.2,f1,max,10,20,acc,EfficientNetB0MultiHead_MixUp_1,Aug_EfficientNetB0MultiHead_MixUp_1,2.0,1,1,EfficientNetB0MultiHead_MixUp_1,0.0,0.0,StepLR,0.5,5.0,0.0,1.0,224,224
42,30,MaskSplitByProfileDataset,CustomAugmentation,MaskDataLoader,256,90,SwinTransformerBase224V1,Adam,0.001,0.1,f1,max,10,20,acc,SwinTransformerV1_f1,final_SwinTransformerV1_f1,2.0,1,1,final_SwinTransformerV1_f1_fold1,1.0,0.0,StepLR,0.5,5.0,5.0,0.0,224,224
42,30,MaskSplitByProfileDataset,BaseAugmentation,MaskDataLoader,512,1000,EfficientViTB3MultiHead,Adam,0.001,0.2,f1,none,5,20,acc,EfficientViTB3MultiHeadV2,model_EfficientViTB3MultiHeadV2,0.0,1,1,EfficientViTB3MultiHeadV2,0.0,0.0,StepLR,0.5,5.0,0.0,0.0,128,96
42,100,MaskSplitByProfileDataset,CustomAugmentation,MaskDataLoader,256,90,SwinTransformerBase224V1,Adam,0.001,0.1,f1,max,10,20,acc,SwinTransformerV1,finale_SwinTransformerV1,2.0,1,1,finale_SwinTransformerV1,0.0,0.0,StepLR,0.5,5.0,7.0,0.0,224,224
42,30,MaskSplitByProfileDataset,BaseAugmentation,MaskDataLoader,512,1000,SwinTransformerBase224V1,Adam,0.001,0.2,focal,max,10,20,acc,SwinTransformerBase224V1_focal_W1,model_SwinTransformerBase224V1_focal_W1,2.0,1,1,fix_SwinTransformerBase224V1_focal_W1,0.0,0.0,StepLR,0.5,5.0,0.0,0.0,224,224
42,15,MaskSplitByProfileDataset,CustomAugmentation,MaskDataLoader,256,45,SwinTransformerBase224V1,Adam,0.001,0.1,f1,max,10,20,acc,SwinTransformerV1_f1,test_SwinTransformerV1_f1,2.0,1,1,test_SwinTransformerV1_f1_fold2,1.0,0.0,StepLR,0.5,5.0,5.0,0.0,224,224
42,30,MaskSplitByProfileDataset,BaseAugmentation,MaskDataLoader,512,1000,FocalNetTinySRFMultiHead,Adam,0.001,0.2,f1,none,5,20,acc,FocalNetTinySRFMultiHeadV2,model_FocalNetTinySRFMultiHeadV2,0.0,1,1,FocalNetTinySRFMultiHeadV2,0.0,0.0,StepLR,0.5,5.0,0.0,0.0,128,96
42,30,MaskSplitByProfileDataset,CustomAugmentation,MaskDataLoader,256,1000,SwinTransformerBase224V1,Adam,0.001,0.1,f1,max,10,20,acc,SwinTransformerV1_f1,final_SwinTransformerV1_f1,2.0,1,1,fix_SwinTransformerV1_f1,0.0,0.0,StepLR,0.5,5.0,0.0,0.0,224,224
42,30,MaskSplitByProfileDataset,BaseAugmentation,MaskDataLoader,512,1000,SwinTransformerBase224V1,Adam,0.001,0.2,focal,min,10,20,acc,SwinTransformerBase224V1_focal,model_SwinTransformerBase224V1_focal,2.0,1,1,SwinTransformerBase224V1_focal_W2,0.0,0.0,StepLR,0.5,5.0,0.0,0.0,224,224
42,30,MaskSplitByProfileDataset,BaseAugmentation,MaskDataLoader,512,1000,SwinTransformerBase224V1,Adam,0.001,0.2,f1,none,5,20,loss,SwinTransformerBase224_best_loss,model_SwinTransformerBase224_best_loss,2.0,1,1,SwinTransformerBase224_best_loss,0.0,0.0,StepLR,0.5,5.0,0.0,0.0,224,224
42,15,MaskSplitByProfileDataset,CustomAugmentation,MaskDataLoader,256,45,SwinTransformerBase224V1,Adam,0.001,0.1,f1,max,10,20,acc,SwinTransformerV1_f1,test_SwinTransformerV1_f1,2.0,1,1,test_SwinTransformerV1_f1_fold3,1.0,0.0,StepLR,0.5,5.0,5.0,0.0,224,224
42,30,MaskSplitByProfileDataset,BaseAugmentation,MaskDataLoader,512,1000,SwinTransformerBase224V3,Adam,0.001,0.2,focal,max,10,20,acc,SwinTransformerV3_3stage,model_SwinTransformerV3_3stage,2.0,1,1,SwinTransformerV3_3stage,0.0,0.0,StepLR,0.5,5.0,0.0,0.0,224,224
42,30,MaskSplitByProfileDataset,BaseAugmentation,MaskDataLoader,512,1000,SwinTransformerBase224V2,Adam,0.001,0.2,focal,max,10,20,acc,SwinTransformerV2_2stage,model_SwinTransformerV2_2stage,2.0,1,1,SwinTransformerV2_2stage,0.0,0.0,StepLR,0.5,5.0,0.0,0.0,224,224
42,30,MaskSplitByProfileDataset,CustomAugmentation,MaskDataLoader,256,90,SwinTransformerBase224V1,Adam,0.001,0.1,f1,max,10,20,acc,SwinTransformerV1_f1,final_SwinTransformerV1_f1,2.0,1,1,final_SwinTransformerV1_f1_fold0,1.0,0.0,StepLR,0.5,5.0,5.0,0.0,224,224
42,30,MaskSplitByProfileDataset,BaseAugmentation,MaskDataLoader,512,1000,SwinTransformerBase224,Adam,0.001,0.2,f1,none,5,20,acc,SwinTransformerBase224,model_SwinTransformerBase224,2.0,1,1,fix_SwinTransformerBase224,0.0,0.0,StepLR,0.5,5.0,0.0,0.0,224,224
42,15,MaskSplitByProfileDataset,CustomAugmentation,MaskDataLoader,256,45,SwinTransformerBase224V1,Adam,0.001,0.1,f1,max,10,20,acc,SwinTransformerV1_f1,test_SwinTransformerV1_f1,2.0,1,1,test_SwinTransformerV1_f1_fold7,1.0,0.0,StepLR,0.5,5.0,5.0,0.0,224,224
42,15,MaskSplitByProfileDataset,CustomAugmentation,MaskDataLoader,256,45,SwinTransformerBase224V1,Adam,0.001,0.1,f1,max,10,20,acc,SwinTransformerV1_f1,test_SwinTransformerV1_f1,2.0,1,1,test_SwinTransformerV1_f1_fold5,1.0,0.0,StepLR,0.5,5.0,5.0,0.0,224,224
42,30,MaskSplitByProfileDataset,BaseAugmentation,MaskDataLoader,512,64,SwinTransformerBase224,Adam,0.001,0.2,focal,none,5,20,acc,SwinTransformerBase224_focal,model_SwinTransformerBase224_focal,2.0,1,1,SwinTransformerBase224_focal,0.0,0.0,StepLR,0.5,5.0,0.0,0.0,224,224
42,15,MaskSplitByProfileDataset,CustomAugmentation,MaskDataLoader,256,45,SwinTransformerBase224V1,Adam,0.001,0.1,f1,max,10,20,acc,SwinTransformerV1_f1,test_SwinTransformerV1_f1,2.0,1,1,test_SwinTransformerV1_f1_fold6,1.0,0.0,StepLR,0.5,5.0,5.0,0.0,224,224
42,15,MaskSplitByProfileDataset,CustomAugmentation,MaskDataLoader,256,45,SwinTransformerBase224V1,Adam,0.001,0.1,f1,max,10,20,acc,SwinTransformerV1_f1,test_SwinTransformerV1_f1,2.0,1,1,test_SwinTransformerV1_f1_fold8,1.0,0.0,StepLR,0.5,5.0,5.0,0.0,224,224
42,30,MaskSplitByProfileDataset,BaseAugmentation,MaskDataLoader,512,1000,EfficientNetB0MultiHead,Adam,0.001,0.2,f1,max,10,20,acc,EfficientNetB0MultiHead_MixUp_0,Aug_EfficientNetB0MultiHead_MixUp_0,2.0,1,1,EfficientNetB0MultiHead_MixUp_0,0.0,0.0,StepLR,0.5,5.0,0.0,0.0,224,224
42,15,MaskSplitByProfileDataset,CustomAugmentation,MaskDataLoader,256,45,SwinTransformerBase224V1,Adam,0.001,0.1,f1,max,10,20,acc,SwinTransformerV1_f1,test_SwinTransformerV1_f1,2.0,1,1,test_SwinTransformerV1_f1_fold9,1.0,0.0,StepLR,0.5,5.0,5.0,0.0,224,224
